[Test 10] Epoch 36 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.8369
[Test 10] Epoch 37 | LOSS | Score: -100 | Reward: -8.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.8328
[Test 10] Epoch 38 | LOSS | Score: -100 | Reward: -8.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.8287
[Test 10] Epoch 39 | WIN | Score: 50 | Reward: 7.50 | Loss: 0.0000 | Pigs killed: 2/2 | Tries left: 5 | Shots: 5 | Eps: 0.8246
[Test 10] Epoch 40 | LOSS | Score: -100 | Reward: -8.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.8205
[Test 10] Epoch 41 | LOSS | Score: -100 | Reward: -9.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.8165
[Test 10] Epoch 42 | LOSS | Score: -100 | Reward: -8.60 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.8125
[Test 10] Epoch 43 | LOSS | Score: -100 | Reward: -9.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.8085
[Test 10] Epoch 44 | WIN | Score: 30 | Reward: 6.30 | Loss: 0.0000 | Pigs killed: 2/2 | Tries left: 3 | Shots: 7 | Eps: 0.8045
[Test 10] Epoch 45 | WIN | Score: 50 | Reward: 8.50 | Loss: 0.0000 | Pigs killed: 2/2 | Tries left: 5 | Shots: 5 | Eps: 0.8005
[Test 10] Epoch 46 | LOSS | Score: -100 | Reward: -7.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.7966
[Test 10] Epoch 47 | LOSS | Score: -100 | Reward: -8.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.7927
[Test 10] Epoch 48 | LOSS | Score: -100 | Reward: -9.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.7888
[Test 10] Epoch 49 | LOSS | Score: -100 | Reward: -9.90 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.7849
[Test 10] Epoch 50 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.9518 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.7810
[Test 10] Epoch 51 | LOSS | Score: -100 | Reward: -9.90 | Loss: 1.0500 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.7772
[Test 10] Epoch 52 | LOSS | Score: -100 | Reward: -8.90 | Loss: 1.0530 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.7733
[Test 10] Epoch 53 | LOSS | Score: -100 | Reward: -9.90 | Loss: 1.0427 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.7695
[Test 10] Epoch 54 | WIN | Score: 0 | Reward: 0.40 | Loss: 1.0379 | Pigs killed: 2/2 | Tries left: 0 | Shots: 10 | Eps: 0.7657
[Test 10] Epoch 55 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.9733 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.7620
[Test 10] Epoch 56 | LOSS | Score: -125 | Reward: -12.90 | Loss: 1.0429 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.7582
[Test 10] Epoch 57 | LOSS | Score: -125 | Reward: -12.90 | Loss: 1.0230 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.7545
[Test 10] Epoch 58 | LOSS | Score: -100 | Reward: -10.90 | Loss: 1.0240 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.7508
[Test 10] Epoch 59 | LOSS | Score: -100 | Reward: -9.90 | Loss: 0.9736 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.7471
[Test 10] Epoch 60 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.9995 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.7434
[Test 10] Epoch 61 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.9770 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.7398
[Test 10] Epoch 62 | LOSS | Score: -100 | Reward: -7.90 | Loss: 0.9727 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.7361
[Test 10] Epoch 63 | LOSS | Score: -125 | Reward: -11.30 | Loss: 0.9494 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.7325
[Test 10] Epoch 64 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.9657 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.7289
[Test 10] Epoch 65 | WIN | Score: 60 | Reward: 10.90 | Loss: 0.9498 | Pigs killed: 2/2 | Tries left: 6 | Shots: 4 | Eps: 0.7253
[Test 10] Epoch 66 | WIN | Score: 20 | Reward: 6.20 | Loss: 1.0190 | Pigs killed: 2/2 | Tries left: 2 | Shots: 8 | Eps: 0.7217
[Test 10] Epoch 67 | LOSS | Score: -100 | Reward: -7.60 | Loss: 1.0043 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.7182
[Test 10] Epoch 68 | LOSS | Score: -125 | Reward: -13.90 | Loss: 0.9932 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.7147
[Test 10] Epoch 69 | WIN | Score: 60 | Reward: 9.90 | Loss: 0.9112 | Pigs killed: 2/2 | Tries left: 6 | Shots: 4 | Eps: 0.7111
[Test 10] Epoch 70 | LOSS | Score: -100 | Reward: -6.60 | Loss: 0.9983 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.7076
[Test 10] Epoch 71 | LOSS | Score: -125 | Reward: -12.90 | Loss: 1.0199 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.7042
[Test 10] Epoch 72 | LOSS | Score: -100 | Reward: -9.90 | Loss: 1.0031 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.7007
[Test 10] Epoch 73 | LOSS | Score: -100 | Reward: -8.60 | Loss: 0.9659 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.6973
[Test 10] Epoch 74 | LOSS | Score: -100 | Reward: -9.60 | Loss: 1.0362 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.6938
[Test 10] Epoch 75 | WIN | Score: 10 | Reward: 5.70 | Loss: 1.0353 | Pigs killed: 2/2 | Tries left: 1 | Shots: 9 | Eps: 0.6904
[Test 10] Epoch 76 | LOSS | Score: -100 | Reward: -7.90 | Loss: 0.9743 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.6870
[Test 10] Epoch 77 | LOSS | Score: -100 | Reward: -8.90 | Loss: 1.0508 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.6836
[Test 10] Epoch 78 | WIN | Score: 0 | Reward: -0.90 | Loss: 0.9650 | Pigs killed: 2/2 | Tries left: 0 | Shots: 10 | Eps: 0.6803
[Test 10] Epoch 79 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.9760 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.6769
[Test 10] Epoch 80 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.9982 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.6736
[Test 10] Epoch 81 | LOSS | Score: -100 | Reward: -8.90 | Loss: 0.9522 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.6703
[Test 10] Epoch 82 | LOSS | Score: -100 | Reward: -8.90 | Loss: 1.0756 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.6670
[Test 10] Epoch 83 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.9322 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.6637
[Test 10] Epoch 84 | LOSS | Score: -100 | Reward: -8.60 | Loss: 0.9431 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.6605
[Test 10] Epoch 85 | LOSS | Score: -100 | Reward: -13.90 | Loss: 1.0282 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.6572
[Test 10] Epoch 86 | LOSS | Score: -100 | Reward: -8.90 | Loss: 1.0367 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.6540
[Test 10] Epoch 87 | LOSS | Score: -125 | Reward: -11.90 | Loss: 0.9570 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.6508
[Test 10] Epoch 88 | LOSS | Score: -100 | Reward: -11.60 | Loss: 1.0230 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.6476
[Test 10] Epoch 89 | WIN | Score: 10 | Reward: 5.10 | Loss: 1.0311 | Pigs killed: 2/2 | Tries left: 1 | Shots: 9 | Eps: 0.6444
[Test 10] Epoch 90 | LOSS | Score: -100 | Reward: -7.90 | Loss: 0.9851 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.6413
[Test 10] Epoch 91 | LOSS | Score: -125 | Reward: -11.30 | Loss: 1.0043 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.6381
[Test 10] Epoch 92 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.9602 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.6350
