[Test 5] Epoch 32 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.7289
[Test 5] Epoch 33 | LOSS | Score: -100 | Reward: -7.60 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.7217
[Test 5] Epoch 34 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.7147
[Test 5] Epoch 35 | WIN | Score: 0 | Reward: 2.00 | Loss: 0.0000 | Pigs killed: 2/2 | Tries left: 0 | Shots: 10 | Eps: 0.7076
[Test 5] Epoch 36 | LOSS | Score: -125 | Reward: -11.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.7007
[Test 5] Epoch 37 | LOSS | Score: -125 | Reward: -13.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.6938
[Test 5] Epoch 38 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.6870
[Test 5] Epoch 39 | LOSS | Score: -100 | Reward: -7.60 | Loss: 0.0000 | Pigs killed: 1/2 | Tries left: 0 | Shots: 10 | Eps: 0.6803
[Test 5] Epoch 40 | LOSS | Score: -125 | Reward: -12.90 | Loss: 0.0000 | Pigs killed: 0/2 | Tries left: 0 | Shots: 10 | Eps: 0.6736
[Test 5] Epoch 41 | WIN | Score: 20 | Reward: 6.20 | Loss: 0.0000 | Pigs killed: 2/2 | Tries left: 2 | Shots: 8 | Eps: 0.6670
[Test 5] Epoch 42 | WIN | Score: 60 | Reward: 10.20 | Loss: 0.0000 | Pigs killed: 2/2 | Tries left: 6 | Shots: 4 | Eps: 0.6605
